Label,Resource
B13-2A,a2bd57cc-ee09-ced2-7410-b19ec4beba35
B13-2B,a8bd57cc-ee0c-3391-8776-29f9a5d46e62
B13-2C,92bd57cc-edf1-6a4f-e786-5518be00e4d9
B13-2D,9abd57cc-edb4-9299-d5de-5c2368c67f14
B13-2E,24bd57cc-ed8f-e473-5c18-c1c72ae6ec3d
B13-2G,e4bd57cc-ee93-71d0-192a-7d7fd6e0a5fa
B13-3A,9cbd57cc-ed3b-7c84-0c3d-47f1cc6dd68e
B13-3B,d2bd57cc-ee54-08da-6711-ac7bf99b3246
B13-3C,78bd57cc-ee32-7fe1-47d3-0a719922eaf3
B13-3D,46bd57cc-edf4-68ed-b633-020c66188d5f
B13-3E,76bd57cc-edd2-e649-23b2-dcdd633f8750
B13-3G,debd57cc-ee58-43e1-4eb9-0c62819617a4
B13-4A,64bd57cc-ed87-3549-a472-7bc95a05bde1
B13-4B,06bd57cc-ed55-06d9-4070-5d6ae0da75de
B13-4C,e6bd57cc-ee7a-49e8-dcb3-8d1a9fd4a425
B13-4D,cabd57cc-ee32-b630-9c36-13ad2d199699
B13-4E,38bd57cc-ee13-34e7-f6d0-e429a247f6b6
B13-4G,a0bd57cc-eeaa-fd69-0df8-711fae89a250
B14-1A,68bd57cc-eef1-cf77-746b-bda2f4070142
B14-1B,24bd57cc-eeb9-9120-586e-810469bc90d6
B14-1C,26bd57cc-eecb-601b-a782-0b4f7655ef07
B14-1D,90bd57cc-efe0-1f20-9ab1-f72f97e994c8
B14-1E,12bd57cc-efc1-6adf-2a27-b0e30a3f6359
B14-1G,d6bd57cc-ef7c-74cd-9a94-9866163a1a62
B14-2A,02bd57cc-ef2f-d70a-8a4f-a7f8cd148835
B14-2B,2ebd57cc-eefc-03a5-e96f-6c1f41268a14
B14-2C,e0bd57cc-ef1c-e31c-a5b0-6cd0a5929815
B14-2D,76bd57cc-eeee-385c-917e-e5ebf1e1fd9b
B14-2E,22bd57cc-f002-7bc1-fb35-2cb8dac07a33
B14-2G,fcbd57cc-efbc-63bc-3e8b-226c0af15b9d
B14-3A,6ebd57cc-ef85-52ec-8c96-162a1f54c1c4
B14-3B,6ebd57cc-ef3c-910d-3816-05b29052c9ca
B14-3C,a2bd57cc-ef5f-85de-c44f-36965f4e63ff
B14-3D,dabd57cc-ef31-0730-2f3e-73c915d33894
B14-3E,84bd57cc-eeed-1afc-e028-0ba88da544f2
B14-3G,80bd57cc-f000-47dd-77df-ffe34fde644f
B14-4A,14bd57cc-ee75-cd9a-dbb7-dd32bbacd4b2
B14-4B,c6bd57cc-ef80-8502-c18f-db51512058f6
B14-4C,5abd57cc-ef9e-9cf1-7507-cd5f2a260340
B14-4D,ecbd57cc-ef81-7488-6806-8d08e45cae4e
B14-4E,3abd57cc-ef3c-5404-e8e2-e0268d7d1b71
B14-4G,d6bd57cc-eeff-1db8-ceae-90cca4311ace
B15-1A,98bd57cc-ef3d-8687-a822-15b5b8f83961
B15-1B,c8bd57cc-efef-d50a-617e-54509798b33b
B15-1C,d2bd57cc-f10b-ed52-12e3-0b5622701790
B15-1D,aabd57cc-f0c0-6b29-77cc-d7d97ed09319
